District code,State,District,Longitude,Latitude,Population,Households_with_Internet,sex_ratio,literacy_rate
532,Andhra Pradesh,Adilabad,78.81321233480176,19.284513950073435,2741239,5512,100.0,54.0
553,Andhra Pradesh,Anantapur,77.4601584478577,14.312065561843148,4081148,8606,98.0,57.0
554,Andhra Pradesh,Chittoor,78.92763898886037,13.33109263067696,4174064,13763,100.0,64.0
545,Andhra Pradesh,East Godavari,82.2432074720511,16.782718320784902,5154296,22411,101.0,64.0
548,Andhra Pradesh,Guntur,80.58657614107885,15.884925767634847,4887813,19383,100.0,61.0
536,Andhra Pradesh,Hyderabad,78.46668888888888,17.38971555555556,3943323,149034,95.0,73.0
534,Andhra Pradesh,Karimnagar,79.43765428571413,18.515483193277312,3776269,8831,101.0,58.0
541,Andhra Pradesh,Khammam,80.67008643892335,17.683921325051784,2797370,8628,101.0,58.0
547,Andhra Pradesh,Krishna,81.14805061000413,16.143872753151673,4517398,30438,99.0,67.0
552,Andhra Pradesh,Kurnool,77.90086836581717,15.43759715142429,4053463,10081,99.0,52.0
538,Andhra Pradesh,Mahbubnagar,77.98933089244859,16.639546224256293,4053028,6153,98.0,48.0
535,Andhra Pradesh,Medak,78.13778901903379,17.889304978038055,3033288,8635,99.0,54.0
539,Andhra Pradesh,Nalgonda,79.16984453608244,17.113250515463907,3488809,7715,98.0,57.0
533,Andhra Pradesh,Nizamabad,78.07523490566035,18.429485849056604,2551335,5261,104.0,54.0
549,Andhra Pradesh,Prakasam,80.11665790176184,15.489039001601704,3397448,6151,98.0,56.0
542,Andhra Pradesh,Srikakulam,84.25874814010675,18.570900998697432,2703114,3988,101.0,55.0
543,Andhra Pradesh,Vizianagaram,83.45982854198873,18.28329696032972,2344474,4453,102.0,53.0
540,Andhra Pradesh,Warangal,79.87422028985509,18.01752608695651,3512576,12952,100.0,59.0
546,Andhra Pradesh,West Godavari,81.45912990654196,16.63297943925236,3936966,12050,100.0,67.0
253,Arunachal Pradesh,Changlang,96.37552644628106,27.36048479338845,148226,170,93.0,49.0
247,Arunachal Pradesh,East Kameng,93.04741486013997,27.371194055944056,78690,57,103.0,49.0
251,Arunachal Pradesh,East Siang,95.06499226006191,28.15382352941176,99214,450,98.0,63.0
256,Arunachal Pradesh,Kurung Kumey,93.24531994459834,28.04853351800553,92076,95,103.0,40.0
259,Arunachal Pradesh,Lohit,96.59670770547945,27.946785273972623,145726,312,91.0,57.0
258,Arunachal Pradesh,Lower Dibang Valley,95.76567335640142,28.32651730103806,54080,207,93.0,59.0
255,Arunachal Pradesh,Lower Subansiri,93.96226108108112,27.70849297297297,83030,381,98.0,65.0
248,Arunachal Pradesh,Papum Pare,93.54468183962264,27.273529716981127,176573,2477,98.0,69.0
245,Arunachal Pradesh,Tawang,91.82504245283016,27.680683962264148,49977,96,71.0,52.0
254,Arunachal Pradesh,Tirap,95.41470327868862,26.94406229508198,111975,98,94.0,43.0
252,Arunachal Pradesh,Upper Siang,95.00155765306124,28.8309244897959,35320,97,89.0,52.0
249,Arunachal Pradesh,Upper Subansiri,93.8991435622318,28.277196566523585,83448,139,100.0,54.0
246,Arunachal Pradesh,West Kameng,92.65015750452083,27.46486582278483,83947,202,82.0,58.0
250,Arunachal Pradesh,West Siang,94.53510344202908,28.106296920289843,112274,303,93.0,58.0
303,Assam,Barpeta,90.97912010178116,26.427872264631056,1693622,2078,95.0,53.0
319,Assam,Bongaigaon,90.6734296187684,26.45012521994133,738804,2523,97.0,59.0
316,Assam,Cachar,92.86849650455927,24.815570668693017,1736617,5316,96.0,68.0
325,Assam,Darrang,92.04141338028155,26.58463215962442,928500,1166,95.0,52.0
308,Assam,Dhemaji,94.71336908517353,27.586533438485816,686133,1192,95.0,62.0
310,Assam,Dibrugarh,95.0998282327587,27.30612284482757,1326335,8817,96.0,67.0
302,Assam,Goalpara,90.59869891598912,26.017277777777807,1008183,1364,96.0,56.0
313,Assam,Golaghat,93.82583397823468,26.377219709794485,1066888,3073,96.0,68.0
318,Assam,Hailakandi,92.59154664804475,24.457496089385486,659296,1211,95.0,62.0
312,Assam,Jorhat,94.30197722567289,26.76244824016563,1092256,5651,96.0,73.0
321,Assam,Kamrup,91.58863273972592,26.170939452054807,1517542,3109,95.0,66.0
314,Assam,Karbi Anglong,93.11536570271832,26.08966454598031,956313,1923,95.0,58.0
317,Assam,Karimganj,92.3679498575498,24.69660712250711,1228686,1933,96.0,65.0
300,Assam,Kokrajhar,90.13997470997688,26.497246635730868,887142,1218,96.0,55.0
307,Assam,Lakhimpur,94.0775949253732,27.14128805970149,1042137,1948,97.0,66.0
305,Assam,Nagaon,92.9306191144708,26.26462170626351,2823768,5121,96.0,61.0
323,Assam,Nalbari,91.40598521126763,26.46323767605632,771639,1631,95.0,69.0
306,Assam,Sonitpur,92.85197804878044,26.73514926829268,1924110,4358,96.0,58.0
309,Assam,Tinsukia,95.69055949367085,27.53549291139241,1327929,5135,95.0,60.0
209,Bihar,Araria,87.30766554934816,26.211528119180603,2811569,2561,92.0,43.0
235,Bihar,Aurangabad,84.45986024096379,24.774291867469877,2540073,2362,93.0,58.0
515,Bihar,Aurangabad,84.45986024096379,24.774291867469877,3701282,23258,92.0,68.0
235,Maharashtra,Aurangabad,75.32072196796334,20.0979228832952,2540073,2362,93.0,58.0
515,Maharashtra,Aurangabad,75.32072196796334,20.0979228832952,3701282,23258,92.0,68.0
225,Bihar,Banka,86.8664916342413,24.832355642023337,2034763,1704,91.0,47.0
222,Bihar,Begusarai,86.12560144032932,25.54302613168723,2970541,4644,89.0,52.0
224,Bihar,Bhagalpur,87.04213814229242,25.277192885375477,3037766,6764,88.0,52.0
231,Bihar,Bhojpur,84.49407803030304,25.50666439393939,2728407,3661,91.0,59.0
232,Bihar,Buxar,84.08808081760995,25.48593018867924,1706352,1784,92.0,58.0
215,Bihar,Darbhanga,85.97387352472099,26.146187719298258,3937385,6280,91.0,46.0
236,Bihar,Gaya,84.94291217765044,24.7266541547278,4391418,6856,94.0,52.0
217,Bihar,Gopalganj,84.34636127167629,26.44874364161851,2562012,3707,102.0,54.0
238,Bihar,Jamui,86.26316298200514,24.78418380462726,1760405,1839,92.0,49.0
239,Bihar,Jehanabad,84.9208124481328,25.155679045643165,1125313,1106,92.0,55.0
212,Bihar,Katihar,87.70466083591326,25.56565356037151,3071029,2941,92.0,42.0
223,Bihar,Khagaria,86.56593256351037,25.53558891454964,1666886,1580,89.0,46.0
210,Bihar,Kishanganj,87.95045007235886,26.324336758321294,1690400,1093,95.0,44.0
227,Bihar,Lakhisarai,86.12825701357468,25.183449321266963,1000912,1186,90.0,51.0
213,Bihar,Madhepura,86.8978443983403,25.77341929460581,2001762,1397,91.0,42.0
207,Bihar,Madhubani,86.16328360450552,26.41380538172716,4487379,5319,93.0,48.0
226,Bihar,Munger,86.54173672839504,25.198537962962963,1367765,2653,88.0,59.0
216,Bihar,Muzaffarpur,85.32745092024543,26.18664417177915,4801062,10290,90.0,52.0
229,Bihar,Nalanda,85.48053113772461,25.229345508982053,2877653,4156,92.0,53.0
237,Bihar,Nawada,85.61594568965519,24.825708836206903,2219146,1841,94.0,49.0
203,Bihar,Pashchim Champaran,84.30265911949685,27.16064352201258,3935042,3495,91.0,45.0
230,Bihar,Patna,85.3198433587787,25.40297114503818,5838465,40692,90.0,59.0
204,Bihar,Purba Champaran,85.00382155612242,26.68129336734693,5099371,7719,90.0,45.0
211,Bihar,Purnia,87.40447606973065,25.81714801901739,3264619,4170,92.0,41.0
234,Bihar,Rohtas,83.9350762672811,24.99170460829495,2959918,4594,92.0,61.0
214,Bihar,Saharsa,86.54670819672135,25.821270696721303,1900661,1668,91.0,42.0
221,Bihar,Samastipur,85.94833323308269,25.793205563909765,4261566,5379,91.0,50.0
219,Bihar,Saran,84.82266287425155,25.89656077844312,3951862,4509,95.0,55.0
228,Bihar,Sheikhpura,85.77839390862943,25.12472436548223,636342,631,93.0,52.0
205,Bihar,Sheohar,85.29539411764709,26.458380748663107,656246,478,89.0,43.0
206,Bihar,Sitamarhi,85.61172491289203,26.56570069686413,3423574,3460,90.0,42.0
218,Bihar,Siwan,84.33766552901022,26.1736372013652,3330464,3834,99.0,58.0
208,Bihar,Supaul,86.78496465201461,26.28157893772896,2229076,1845,93.0,46.0
220,Bihar,Vaishali,85.39247597173153,25.8134703180212,3495021,4810,89.0,55.0
55,Chandigarh,Chandigarh,76.75872465753424,30.7426,1055450,44283,82.0,76.0
414,Chhattisgarh,Bastar,81.52895126903546,19.393866751269048,1413199,1782,102.0,46.0
30,Chhattisgarh,Bilaspur,81.99770350877188,22.356942982456143,381956,1574,98.0,75.0
406,Chhattisgarh,Bilaspur,81.99770350877188,22.356942982456143,2663629,8566,97.0,60.0
30,Himachal Pradesh,Bilaspur,76.65316079295157,31.3780422907489,381956,1574,98.0,75.0
406,Himachal Pradesh,Bilaspur,76.65316079295157,31.3780422907489,2663629,8566,97.0,60.0
412,Chhattisgarh,Dhamtari,81.7569195519348,20.554912627291245,799781,1016,101.0,68.0
409,Chhattisgarh,Durg,81.33181639511197,21.194463849287164,3343872,16141,99.0,69.0
402,Chhattisgarh,Jashpur,83.8703962075848,22.77286167664669,851669,567,101.0,58.0
404,Chhattisgarh,Korba,82.57604326923074,22.491712499999995,1206640,4544,97.0,62.0
400,Chhattisgarh,Koriya,82.12515636363635,23.50412776859501,658917,1667,97.0,60.0
411,Chhattisgarh,Mahasamund,82.65925427435384,21.223727037773354,1032754,961,102.0,62.0
403,Chhattisgarh,Raigarh,83.27797698630134,22.008265068493166,1493984,3342,99.0,64.0
520,Chhattisgarh,Raigarh,83.27797698630134,22.008265068493166,2634200,38570,96.0,74.0
403,Maharashtra,Raigarh,73.0090609418579,18.453257637845976,1493984,3342,99.0,64.0
